,ID,Column0,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21
0,ad1a67e4cbddc767a3456b0d94299b9e,2.0,2495,3726.0,0.6781394378315789,0.7014034666794821,-0.0074679147521047,0.4341898857039614,-0.0156027861709174,0.6062649742666545,,0,0,0,0,0.0013506051881885,0.0033900985562439,0.0,0,0.0,0,0,0
1,7246d2f76ac0c217ec25e72ea5f014cb,0.0,2495,3454.0,0.4525801441985607,0.7014034666794821,-0.0074678876458904,1.554997855217644,-0.0155738407335332,0.3299464438880037,,0,0,0,0,0.0013506051812899,0.0033900985562439,0.0,0,0.0,0,0,0
2,22ba388e7dd14c13342c49e75fc29dda,2.0,2495,4543.0,-1.577453498506724,-1.429539639944487,-0.0074686502841777,-0.407939121815475,-0.0156074272276953,-0.7749791570104966,,1,1,1,1,0.0013505882624856,0.0033900985562439,0.0,0,0.0,0,0,0
3,59f9b981472d97342587fb3e6392aeb1,0.0,211,59.0,,,,-0.407939121815475,-0.0156074272276953,-0.7749791570104966,,0,0,0,0,,0.0033900985562439,0.0,0,1.0,0,0,0
4,f6317cf7ecf126859804eddff279aead,0.0,718,950.0,-2.028572085775468,-1.855728261270304,,-0.407939121815475,-0.0156074272276953,-0.7749791570104966,,0,0,0,0,,0.0033900985562439,0.0,0,0.0,0,0,0
5,500bf0fce5509f8faa0d59a3be66a7cb,0.0,886,2842.0,-1.1263349112406875,-1.2164453292828572,-0.0074686502841777,-0.407939121815475,-0.0156074272276953,-0.7749791570104966,,1,1,1,1,,0.0033900985562439,0.0,0,0.0,0,0,0
6,5f8333ef730a6ce87968d0158a684e05,0.0,2495,2612.0,-2.028572085775468,-1.855728261270304,-0.0074676358398286,-0.4028514498814797,-0.015607357823139,0.6731628816897983,,0,0,1,1,0.0013505930259655,0.0033900985562439,0.0,0,0.0,0,0,0
7,35de3c8468023ca3cecdcc99f60c2c3d,0.0,2495,3053.0,0.6781394378315789,0.7014034666794821,-0.0074679147521047,-0.0940005151470503,-0.0156049417446418,0.1365924824819932,,0,0,1,0,0.0013506056090028,0.0033900985562439,0.0,0,0.0,0,0,0
8,9625a2859019d065054db34a70cacc0b,2.0,657,137.0,-0.4045451716112396,-0.3214492245004323,-0.0074673807847952,-0.407939121815475,-0.0156074272276953,0.6340258215883281,,1,1,1,1,0.0013506082235703,0.0033900985562439,0.0,0,0.0,0,0,0
9,3eb10613bbe82e509ccb2fd5e74b9669,0.0,647,1678.0,-2.028572085775468,-1.5716025137206115,-0.0074686502841777,-0.407939121815475,-0.0156074272276953,-0.7749791570104966,,0,0,0,0,,0.0033900985562439,0.0,0,0.0,0,0,0
10,019cfab5b1d9627377039aa143f0320c,2.0,144,8.0,-2.028572085775468,-1.855728261270304,-0.0074686502841777,-0.407939121815475,-0.0156074272276953,-0.7749791570104966,,0,0,0,0,,0.0033900985562439,0.0,0,0.0,0,0,0
